日期	收盘
2020年4月13日	2,779.93
2020年4月10日	2,796.63
2020年4月9日	2,825.90
2020年4月8日	2,815.37
2020年4月7日	2,820.76
2020年4月3日	2,763.99
2020年4月2日	2,780.64
2020年4月1日	2,734.52
2020年3月31日	2,750.30
2020年3月30日	2,747.21
2020年3月27日	2,772.20
2020年3月26日	2,764.91
2020年3月25日	2,781.59
2020年3月24日	2,722.44
2020年3月23日	2,660.17
2020年3月20日	2,745.62
2020年3月19日	2,702.13
2020年3月18日	2,728.76
2020年3月17日	2,779.64
2020年3月16日	2,789.25
2020年3月13日	2,887.43
2020年3月12日	2,923.49
2020年3月11日	2,968.52
2020年3月10日	2,996.76
2020年3月9日	2,943.29
2020年3月6日	3,034.51
2020年3月5日	3,071.68
2020年3月4日	3,011.67
2020年3月3日	2,992.90
2020年3月2日	2,970.93
2020年2月28日	2,880.30
2020年2月27日	2,991.33
2020年2月26日	2,987.93
2020年2月25日	3,013.05
2020年2月24日	3,031.23
2020年2月21日	3,039.67
2020年2月20日	3,030.15
2020年2月19日	2,975.40
2020年2月18日	2,984.97
2020年2月17日	2,983.62
2020年2月14日	2,917.01
2020年2月13日	2,906.07
2020年2月12日	2,926.90
2020年2月11日	2,901.67
2020年2月10日	2,890.49
2020年2月7日	2,875.96
2020年2月6日	2,866.51
2020年2月5日	2,818.09
2020年2月4日	2,783.29
2020年2月3日	2,746.61
2020年1月23日	2,976.53
2020年1月22日	3,060.75
2020年1月21日	3,052.14
2020年1月20日	3,095.79
2020年1月17日	3,075.50
2020年1月16日	3,074.08
2020年1月15日	3,090.04
2020年1月14日	3,106.82
2020年1月13日	3,115.57
2020年1月10日	3,092.29
2020年1月9日	3,094.88
2020年1月8日	3,066.89
2020年1月7日	3,104.80
2020年1月6日	3,083.41
2020年1月3日	3,083.79
2020年1月2日	3,085.20
2019年12月31日	3,050.12
2019年12月30日	3,040.02
2019年12月27日	3,005.04
2019年12月26日	3,007.35
2019年12月25日	2,981.88
2019年12月24日	2,982.68
2019年12月23日	2,962.75
2019年12月20日	3,004.94
2019年12月19日	3,017.07
2019年12月18日	3,017.04
2019年12月17日	3,022.42
2019年12月16日	2,984.39
2019年12月13日	2,967.68
2019年12月12日	2,915.70
2019年12月11日	2,924.42
2019年12月10日	2,917.32
2019年12月9日	2,914.48
2019年12月6日	2,912.01
2019年12月5日	2,899.47
2019年12月4日	2,878.12
2019年12月3日	2,884.70
2019年12月2日	2,875.81
2019年11月29日	2,871.98
2019年11月28日	2,889.69
2019年11月27日	2,903.19
2019年11月26日	2,907.06
2019年11月25日	2,906.17
2019年11月22日	2,885.29
2019年11月21日	2,903.64
2019年11月20日	2,911.05
2019年11月19日	2,933.99
2019年11月18日	2,909.20
2019年11月15日	2,891.34
2019年11月14日	2,909.87
2019年11月13日	2,905.24
2019年11月12日	2,914.82
2019年11月11日	2,909.97
2019年11月8日	2,964.18
2019年11月7日	2,978.71
2019年11月6日	2,978.60
2019年11月5日	2,991.56
2019年11月4日	2,975.49
2019年11月1日	2,958.20
2019年10月31日	2,929.06
2019年10月30日	2,939.32
2019年10月29日	2,954.18
2019年10月28日	2,980.05
2019年10月25日	2,954.93
2019年10月24日	2,940.92
2019年10月23日	2,941.62
2019年10月22日	2,954.38
2019年10月21日	2,939.62
2019年10月18日	2,938.14
2019年10月17日	2,977.33
2019年10月16日	2,978.71
2019年10月15日	2,991.05
2019年10月14日	3,007.88
2019年10月11日	2,973.66
2019年10月10日	2,947.71
2019年10月9日	2,924.86
2019年10月8日	2,913.57
2019年9月30日	2,905.19
2019年9月27日	2,932.17
2019年9月26日	2,929.09
2019年9月25日	2,955.43
2019年9月24日	2,985.34
2019年9月23日	2,977.08
2019年9月20日	3,006.45
2019年9月19日	2,999.28
2019年9月18日	2,985.66
2019年9月17日	2,978.12
2019年9月16日	3,030.75
2019年9月12日	3,031.24
2019年9月11日	3,008.81
2019年9月10日	3,021.20
2019年9月9日	3,024.74
2019年9月6日	2,999.60
2019年9月5日	2,985.86
2019年9月4日	2,957.41
2019年9月3日	2,930.15
2019年9月2日	2,924.11
2019年8月30日	2,886.24
2019年8月29日	2,890.92
2019年8月28日	2,893.76
2019年8月27日	2,902.19
2019年8月26日	2,863.57
2019年8月23日	2,897.43
2019年8月22日	2,883.44
2019年8月21日	2,880.33
2019年8月20日	2,880.00
2019年8月19日	2,883.10
2019年8月16日	2,823.82
2019年8月15日	2,815.80
2019年8月14日	2,808.91
2019年8月13日	2,797.26
2019年8月12日	2,814.99
2019年8月9日	2,774.75
2019年8月8日	2,794.55
2019年8月7日	2,768.68
2019年8月6日	2,777.56
2019年8月5日	2,821.50
2019年8月2日	2,867.84
2019年8月1日	2,908.77
2019年7月31日	2,932.51
2019年7月30日	2,952.34
2019年7月29日	2,941.01
2019年7月26日	2,944.54
2019年7月25日	2,937.36
2019年7月24日	2,923.28
2019年7月23日	2,899.94
2019年7月22日	2,886.97
2019年7月19日	2,924.20
2019年7月18日	2,901.18
2019年7月17日	2,931.69
2019年7月16日	2,937.62
2019年7月15日	2,942.19
2019年7月12日	2,930.55
2019年7月11日	2,917.76
2019年7月10日	2,915.30
2019年7月9日	2,928.23
2019年7月8日	2,933.36
2019年7月5日	3,011.06
2019年7月4日	3,005.25
2019年7月3日	3,015.26
2019年7月2日	3,043.94
2019年7月1日	3,044.90
2019年6月28日	2,978.88
2019年6月27日	2,996.79
2019年6月26日	2,976.28
2019年6月25日	2,982.07
2019年6月24日	3,008.15
2019年6月21日	3,001.98
2019年6月20日	2,987.12
2019年6月19日	2,917.80
2019年6月18日	2,890.16
2019年6月17日	2,887.62
2019年6月14日	2,881.97
2019年6月13日	2,910.74
2019年6月12日	2,909.38
2019年6月11日	2,925.72
2019年6月10日	2,852.13
2019年6月6日	2,827.80
2019年6月5日	2,861.42
2019年6月4日	2,862.28
2019年6月3日	2,890.08
2019年5月31日	2,898.70
2019年5月30日	2,905.81
2019年5月29日	2,914.70
2019年5月28日	2,909.91
2019年5月27日	2,892.38
2019年5月24日	2,852.99
2019年5月23日	2,852.52
2019年5月22日	2,891.70
2019年5月21日	2,905.97
2019年5月20日	2,870.60
2019年5月17日	2,882.30
2019年5月16日	2,955.71
2019年5月15日	2,938.68
2019年5月14日	2,883.61
2019年5月13日	2,903.71
2019年5月10日	2,939.21
2019年5月9日	2,850.95
2019年5月8日	2,893.76
2019年5月7日	2,926.39
2019年5月6日	2,906.46
2019年4月30日	3,078.34
2019年4月29日	3,062.50
2019年4月26日	3,086.40
2019年4月25日	3,123.83
2019年4月24日	3,201.61
2019年4月23日	3,198.59
2019年4月22日	3,215.04
2019年4月19日	3,270.80
2019年4月18日	3,250.20
2019年4月17日	3,263.12
2019年4月16日	3,253.60
2019年4月15日	3,177.79
2019年4月12日	3,188.63
2019年4月11日	3,189.96
2019年4月10日	3,241.93
2019年4月9日	3,239.66
2019年4月8日	3,244.81
2019年4月4日	3,246.57
2019年4月3日	3,216.30
2019年4月2日	3,176.82
2019年4月1日	3,170.36
2019年3月29日	3,090.76
2019年3月28日	2,994.94
